Trace tail: last 500 steps before hitting 5M t-state limit.
Generated 2026-05-10. Full trace: 563808 steps, 5,000,008 t-states, iff1=false at cutoff.
Final PC at cutoff: 0x11E5 (inside RAMTOP-scan loop 2).

At the 5M t-state mark, the CPU is deep in loop 2 (0x11E2-0x11ED, scanning RAM upward).
Loop 2 takes ~4.1M t-states total. This trace is the middle of loop 2.

Extended trace (run-to-EI, 20M t-state limit) shows iff1=true at 5,705,613 t-states = 81.6 frames.

Columns: stepN, PC, opByte, A=, F=, BC=, DE=, HL=, SP=, I=, R=, iff1=, tStates=

638697, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFDE, SP=0xFFFF, I=0x3F, R=0x49, iff1=false, tStates=5698957
638698, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x4B, iff1=false, tStates=5698972
638699, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFDE, SP=0xFFFF, I=0x3F, R=0x4C, iff1=false, tStates=5698983
638700, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x4D, iff1=false, tStates=5698989
638701, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x4E, iff1=false, tStates=5698996
638702, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x4F, iff1=false, tStates=5699007
638703, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x50, iff1=false, tStates=5699014
638704, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x51, iff1=false, tStates=5699025
638705, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x52, iff1=false, tStates=5699037
638706, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x53, iff1=false, tStates=5699041
638707, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x55, iff1=false, tStates=5699056
638708, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFDF, SP=0xFFFF, I=0x3F, R=0x56, iff1=false, tStates=5699067
638709, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x57, iff1=false, tStates=5699073
638710, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x58, iff1=false, tStates=5699080
638711, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x59, iff1=false, tStates=5699091
638712, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x5A, iff1=false, tStates=5699098
638713, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x5B, iff1=false, tStates=5699109
638714, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x5C, iff1=false, tStates=5699121
638715, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x5D, iff1=false, tStates=5699125
638716, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x5F, iff1=false, tStates=5699140
638717, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE0, SP=0xFFFF, I=0x3F, R=0x60, iff1=false, tStates=5699151
638718, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x61, iff1=false, tStates=5699157
638719, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x62, iff1=false, tStates=5699164
638720, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x63, iff1=false, tStates=5699175
638721, 0x11EC, 0x35, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x64, iff1=false, tStates=5699182
638722, 0x11ED, 0x28, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x65, iff1=false, tStates=5699193
638723, 0x11E2, 0xA7, A=0x3F, F=0x43, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x66, iff1=false, tStates=5699205
638724, 0x11E3, 0xED, A=0x3F, F=0x3C, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x67, iff1=false, tStates=5699209
638725, 0x11E5, 0x19, A=0x3F, F=0xBB, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x69, iff1=false, tStates=5699224
638726, 0x11E6, 0x23, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE1, SP=0xFFFF, I=0x3F, R=0x6A, iff1=false, tStates=5699235
638727, 0x11E7, 0x30, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6B, iff1=false, tStates=5699241
638728, 0x11E9, 0x35, A=0x3F, F=0xB9, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6C, iff1=false, tStates=5699248
638729, 0x11EA, 0x28, A=0x3F, F=0x03, BC=0x00FF, DE=0xFFFF, HL=0xFFE2, SP=0xFFFF, I=0x3F, R=0x6D, iff1=false, tStates=5699259
